OCC|Date exportation|Pays d'exportation|Quantite|PU|PT|EQ DT|EQ EU|Devise|Produit
Ccpb|2025-06-04|Allemagne|3600.0|1.8055555555555556|6500|21840.0|6500.0|3.36|Dattes découpées
Ccpb|2025-06-04|Allemagne|2900.0|2.4827586206896552|7200|24192.0|7200.0|3.36|Poudre de dattes
Ccpb|2025-06-04|Allemagne|50.0|6.6|330|1108.8|330.0|3.36|Poudre de dattes
Ccpb|2025-06-04|Allemagne|50.0|3.0|150|504.0|150.0|3.36|Dattes dénoyautées
Ccpb|2025-06-10|USA|19584.0|2.12|41518.08|139500.7488|41518.08|3.36|Poudre de dattes
Ccpb|2025-06-11|MADAGASCAR|600.0|1.27|762|2560.32|762.0|3.36|Pâte de dattes
Ccpb|2025-06-20|Belgique|48000.0|0.8|38400|129024.0|38400.0|3.36|Dattes Standards
Ccpb|2025-06-13|Allemagne|19296.0|2.41|46503.36|156716.3232|46503.36|3.37|Dattes dénoyautées
Ccpb|2025-06-13|Allemagne|22000.0|3.1|68200|229152.0|68200.0|3.36|Dattes dénoyautées
Ccpb|2025-06-17|USA|17460.0|3.05|53253|179462.61|53253.0|3.37|Dattes dénoyautées
Ccpb|2025-06-19|France|70.0|12.285714285714286|860|2889.6|860.0|3.36|Barres de dattes au chocolat 35 g
Ccpb|2025-06-19|France|35.0|12.285714285714286|430|1444.8|430.0|3.36|Barres de dattes Banane-Coco 35 g
Ccpb|2025-06-19|France|370.0|11.8|4366|14757.08|4366.0|3.38|Boules de dattes au chocolat
Ccpb|2025-06-20|Belgique|24000.0|0.8|19200|64512.0|19200.0|3.36|Dattes Standards
Ccpb|2025-06-27|Allemagne|22000.0|2.5|55000|183700.0|55000.0|3.34|Dattes dénoyautées
Ccpb|2025-06-27|Allemagne|19296.0|2.41|46503.36|156251.2896|46503.36|3.36|Dattes dénoyautées
Ccpb|2025-06-27|Belgique|3000.0|3.25|9750|32662.5|9750.0|3.35|Dattes dénoyautées
Ccpb|2025-06-30|Italie|19012.8|2.845|54091.416|182288.07192|54091.416|3.37|Dattes dénoyautées
Ccpb|2025-07-01|Allemagne|20000.0|2.3|46000|154560.0|46000.0|3.36|Poudre de dattes
Ccpb|2025-07-01|Espagne|5940.0|2.95|17523|58702.05|17523.0|3.35|Dattes dénoyautées
Ccpb|2025-07-02|USA|18000.0|2.8|50400|141402.24|42336.0|3.34|Poudre de dattes
Ccpb|2025-07-11|Espagne|4800.0|2.0|9600|32160.0|9600.0|3.35|Pâte de dattes
Ccpb|2025-07-16|Allemagne|22000.0|2.8|61599.99999999999|206976.0|61599.99999999999|3.36|Poudre de dattes
Ccpb|2025-07-18|Allemagne|20000.0|1.0|20000|67200.0|20000.0|3.36|Pâte de dattes
Ccpb|2025-07-22|Turquie|19800.0|3.15|62370|177598.575|53014.5|3.35|Dattes dénoyautées
Ccpb|2025-07-29|USA|17460.0|3.092|53986.32|180314.3088|53986.32|3.34|Dattes dénoyautées
Ccpb|2025-07-31|Italie|19012.8|2.93|55707.504|185505.98832|55707.504|3.33|Dattes dénoyautées
Ccpb|2025-08-01|Allemagne|18090.0|2.41|43596.9|146049.615|43596.9|3.35|Dattes dénoyautées
Ccpb|2025-08-05|Espagne|1920.0|2.0|3840|12748.8|3840.0|3.32|Pâte de dattes
Ccpb|2025-08-04|Allemagne|3200.0|2.75|8800|29392.0|8800.0|3.34|Poudre de dattes
Ccpb|2025-08-04|Allemagne|7350.0|1.7|12495|41733.3|12495.0|3.34|Pâte de dattes
Ccpb|2025-08-04|Allemagne|22000.0|2.0|44000|147400.0|44000.0|3.35|Poudre de dattes
Ccpb|2025-08-08|Allemagne|22000.0|2.8|61599.99999999999|205744.0|61599.99999999999|3.34|Poudre de dattes
Ccpb|2025-08-12|Allemagne|18000.0|2.05|36900|123615.0|36900.0|3.35|Pâte de dattes
Ccpb|2025-08-15|Bretagne|4000.0|2.8|11200|37408.0|11200.0|3.34|Poudre de dattes
Ccpb|2025-08-21|France|460.0|11.8|5428|18183.8|5428.0|3.35|Boules de dattes au chocolat
