OCC|Date exportation|Devise|EQ DT|EQ EU|PT|PU|Pays d'exportation|Quantite|Produit
les molins mahjoub|2025-10-07|1.0|3928.32|1152|1152.0|40.0|danemark|28.8|coriandre
les molins mahjoub|2025-10-08|1.0|481.2192000000001|141.12|141.12|9.8|danemark|14.4|confiture de framboise
les molins mahjoub|2025-10-09|0.86|18543.86816804745|182.31999999999996|5454.078872955133|29.91486876346607|usa|212.0|capre
les molins mahjoub|2025-10-10|0.86|17621.57938023653|444.7919999999998|5182.817464775449|11.65222725403211|usa|517.2|tomate séché
les molins mahjoub|2025-10-11|0.86|3689.636736641249|80.18639999999998|1085.18727548272|13.53330833511319|usa|93.24|pâte de tomate séché
les molins mahjoub|2025-10-12|0.86|4164.6318737069|120.74400000000003|1224.891727560853|10.1445349463398|usa|140.4|olive en saumure
les molins mahjoub|2025-10-13|0.86|47948.12691727455|721.3679999999998|14102.39026978663|19.54950908521952|usa|838.8|harissa traditionnelle
les molins mahjoub|2025-10-14|0.86|34435.21946794878|2992.7999999999997|10128.00572586729|3.384123805756245|usa|3480.0|m'hamsa
les molins mahjoub|2025-10-15|0.86|6980.222338275866|160.99199999999996|2053.006570081137|12.75222725403211|usa|187.2|piment doux
les molins mahjoub|2025-10-16|0.86|8193.235458637277|360.684|2409.775134893317|6.681125680355427|usa|419.4|harissa
les molins mahjoub|2025-10-17|0.86|2419.073864798851|18.7824|711.4923131761327|37.88079868260354|usa|21.84|papreka
les molins mahjoub|2025-10-18|0.86|23613.36778930153|998.976|6945.108173323981|6.95222725403211|usa|1161.6|citron confit
les molins mahjoub|2025-10-19|0.86|957.057254458445|50.56799999999999|281.4874277818956|5.566512968317822|usa|58.8|pate de citron confit
les molins mahjoub|2025-10-20|0.86|8246.460935527193|184.21200000000005|2425.429686919763|13.16651296831782|usa|214.2|sauce de citron et figue
les molins mahjoub|2025-10-21|0.86|10837.32436701205|162.28199999999995|3187.448343238838|19.6414164432213|usa|188.7|artichaut
les molins mahjoub|2025-10-22|0.86|31119.60839098145|842.1120000000002|9152.825997347485|10.86889392069877|usa|979.2|confiture de figue
les molins mahjoub|2025-10-23|0.86|764.0462992484545|70.176|224.7194997789572|3.202227254032108|usa|81.6|sauce teboursok
les molins mahjoub|2025-10-24|0.86|4007.50037896552|96.59519999999995|1178.676582048682|12.20222725403211|usa|112.32|confiture d'abricot
les molins mahjoub|2025-10-25|0.86|2325.33170948276|48.2976|683.9210910243411|14.16056058736544|usa|56.16|confiture de framboise
les molins mahjoub|2025-10-26|1.0|7486.129139842037|242.76000000000005|2201.802688188835|9.069874312855637|usa|242.76|shak shuka
les molins mahjoub|2025-10-09|1.0|1559.900969947527|458.7944029257433|458.7944029257433|21.84735252027349|belgique|21.0|capre
les molins mahjoub|2025-10-10|1.0|3194.957888376531|939.6934965813326|939.6934965813326|12.0473525202735|belgique|78.0|piment doux
les molins mahjoub|2025-10-11|1.0|2793.719828271585|821.6823024328193|821.6823024328193|6.847352520273494|belgique|120.0|citron confit
les molins mahjoub|2025-10-12|1.0|12085.7793735093|3554.640992208618|3554.640992208618|7.20029369674408|belgique|493.68|shak shuka
les molins mahjoub|2025-10-13|1.0|1763.201939895055|518.5888058514868|518.5888058514868|12.34735252027349|belgique|42.0|artichaut
